,0
total load actual_lag_24h,24
total load actual_lag_1h,1
datetime,0
clouds_all,0
temp_min,0
temp_max,0
pressure,0
humidity,0
wind_speed,0
wind_deg,0
rain_1h,0
rain_3h,0
snow_3h,0
date,0
weather_id,0
price actual,0
hour,0
renewable_total,0
dayofweek,0
is_weekend,0
month,0
year,0
pct_renewable,0
total load actual_rolling_24h,0
temp,0
price day ahead,0
generation biomass,0
generation hydro water reservoir,0
generation fossil brown coal/lignite,0
generation fossil coal-derived gas,0
generation fossil gas,0
generation fossil hard coal,0
generation fossil oil,0
generation fossil oil shale,0
generation fossil peat,0
generation geothermal,0
generation hydro pumped storage consumption,0
generation hydro run-of-river and poundage,0
generation marine,0
total load actual,0
generation nuclear,0
generation other,0
generation other renewable,0
generation solar,0
generation waste,0
generation wind offshore,0
generation wind onshore,0
forecast solar day ahead,0
forecast wind onshore day ahead,0
total load forecast,0
total load actual_rolling_168h,0
